text,source,site
"Authentication documentation - GitHub Docs Skip to main content Start here Generating a new SSH key and adding it to the ssh-agent After you've checked for existing SSH keys, you can generate a new SSH key to use for authentication, then add it to the ssh-agent. Managing your personal access tokens You can use a personal access token in place of a password when authenticating to GitHub in the command line or with the API. Configuring two-factor authentication You can choose among multiple options to add a second source of authentication to your account. Popular Troubleshooting SSH When using SSH to connect and authenticate to GitHub, you may need to troubleshoot unexpected issues that may arise. Checking for existing SSH keys Before you generate an SSH key, you can check to see if you have any existing SSH keys. Adding a new SSH key to your GitHub account To configure your account on GitHub.com to use your new (or existing) SSH key, you'll also need to add the key to your account. Authenticating with single sign-on You can authenticate to GitHub with single sign-on (SSO) and view your active sessions. Guides Recovering your account if you lose your 2FA credentials If you lose access to your two-factor authentication credentials, you can use your recovery codes, or another recovery option, to regain access to your account. Error: Permission denied (publickey) A ""Permission denied"" error means that the server rejected your connection. There could be several reasons why, and the most common examples are explained below. Creating a strong password Secure your account on GitHub with a strong and unique password using a password manager. All Authentication docs Keeping your account and data secure About authentication to GitHub Creating a strong password Switching between accounts Verifying new devices when signing in Updating",https://docs.github.com/en/authentication,github
"your GitHub access credentials Managing your personal access tokens Reviewing your SSH keys Reviewing your deploy keys Token expiration and revocation Reviewing your security log Security log events Removing sensitive data from a repository About anonymized URLs About GitHub's IP addresses GitHub's SSH key fingerprints Sudo mode Preventing unauthorized access Viewing and managing your sessions Securing your account with two-factor authentication (2FA) About two-factor authentication Configuring two-factor authentication Configuring two-factor authentication recovery methods Accessing GitHub using two-factor authentication Recovering your account if you lose your 2FA credentials Changing your two-factor authentication method About mandatory two-factor authentication Countries where SMS authentication is supported Disabling two-factor authentication for your personal account Authenticating with a passkey About passkeys Managing your passkeys Signing in with a passkey Connecting to GitHub with SSH About SSH Using SSH agent forwarding Managing deploy keys Checking for existing SSH keys Generating a new SSH key and adding it to the ssh-agent Adding a new SSH key to your GitHub account Testing your SSH connection Working with SSH key passphrases Troubleshooting SSH Using SSH over the HTTPS port Recovering your SSH key passphrase Deleted or missing SSH keys Error: Host key verification failed Error: Permission denied (publickey) Error: Bad file number Error: Key already in use Error: Permission to user/repo denied to other-user Error: Permission to user/repo denied to user/other-repo Error: Agent admitted failure to sign Error: ssh-add: illegal option -- apple-use-keychain Error: SSL certificate problem, verify that the CA cert is OK Error: Unknown key type Error: We're doing an SSH key audit Managing commit signature verification About commit signature verification Displaying verification statuses for all of your commits Checking for existing GPG keys Generating a new GPG key Adding a GPG key to your GitHub account Telling Git about your signing key Associating an email with your",https://docs.github.com/en/authentication,github
GPG key Signing commits Signing tags Troubleshooting commit signature verification Checking your commit and tag signature verification status Using a verified email address in your GPG key,https://docs.github.com/en/authentication,github
"Billing and payments documentation - GitHub Docs Skip to main content Start here Introduction to billing and licensing Learn about the billing platform's key functionalities, and how they can help you manage your spending more effectively. How GitHub billing works Learn what you'll be charged for, when charges occur, and how to track your usage on GitHub to avoid billing surprises. Managing your payment and billing information Learn how to view and manage your payment information and billing contacts using the new billing platform. Setting up budgets to control spending on metered products Learn how to set budgets and track when metered usage is nearing or above a budget threshold to prevent overspending. Popular Viewing your usage of metered products You can explore your use of different products that are billed by usage and see how each product contributes to your bill. GitHub Actions billing Learn how usage of GitHub Actions is measured against your free allowance and how to pay for additional use. GitHub Copilot billing GitHub offers several Copilot plans for enterprises, organizations, and individual developers. GitHub Codespaces billing Learn about the costs for using GitHub Codespaces, and the monthly usage quotas included with GitHub personal accounts. What's new View all Single sign-on banners consolidated across GitHub August 07 Social login with Google is now generally available July 15 Reviewing Visual Studio license assignments just got easier July 07 Guides Upgrading your account's plan You can upgrade the plan for a personal account or organization on GitHub at any time. Impact of changing your plan on billing Learn how upgrading or downgrading your plan is reflected in billing. All Billing and payments docs Get started with billing How GitHub billing works Introduction to billing and licensing Concepts for GitHub billing Billing cycles Budgets and alerts Azure subscription payments",https://docs.github.com/en/billing,github
Impact of changing your plan on billing Discounted plans for GitHub accounts Enterprise billing • 5 articles Product billing • 7 articles Payments to third-parties using your GitHub account • 2 articles How-tos for billing Setting up and managing payment • 6 articles Managing your plan and GitHub licenses • 5 articles View and manage paid use of GitHub products • 6 articles Making payments to third-parties through GitHub • 7 articles Managing GitHub for a client • 4 articles Billing troubleshooting • 4 articles Reference for billing Product usage included with each plan Actions minute multiplier reference Usage reports reference Supported payment methods for GitHub Azure subscription reference Roles for the billing platform People who consume a license in an organization Costs and multipliers for using GitHub Models directly Tutorials for billing Setting up budgets to control spending on metered products Using cost centers to allocate costs to business units Estimating spending Gathering insights on your spending,https://docs.github.com/en/billing,github
Site policy documentation - GitHub Docs Skip to main content Site policy documentation GitHub Terms Acceptable Use Policies Privacy Policies Other Site Policies Content Removal Policies Security Policies GitHub Company Policies,https://docs.github.com/en/site-policy,github
"Codespaces documentation - GitHub Docs Skip to main content Start here View all Enabling or disabling GitHub Codespaces for your organization You can control which users can use GitHub Codespaces in your organization's private repositories. Understanding the codespace lifecycle Learn how to develop in a GitHub Codespaces environment, and maintain your data throughout the entire codespace lifecycle. Introduction to dev containers When you work in a codespace, the environment you are working in is created using a development container, or dev container, hosted on a virtual machine. Managing access to other repositories within your codespace You can manage the repositories that GitHub Codespaces can access. Set up your project Setting up a Node.js project for GitHub Codespaces Get started with a Node.js, JavaScript, or TypeScript project in GitHub Codespaces by creating a custom dev container configuration. Setting up a Python project for GitHub Codespaces Get started with a Python project in GitHub Codespaces by creating a custom dev container configuration. Setting up a Java project for GitHub Codespaces Get started with a Java project in GitHub Codespaces by creating a custom dev container configuration. Setting up a C# (.NET) project for GitHub Codespaces Get started with a C# (.NET) project in GitHub Codespaces by creating a custom dev container configuration. Guides Deep dive into GitHub Codespaces Explore more detail about how GitHub Codespaces work. Creating a codespace for a repository You can create a codespace for a branch in a repository to develop online. Creating a codespace from a template If you're starting a new project, you can create a codespace from a blank template or choose a template specially designed for the type of work you want to do. Opening an existing codespace You can reopen a codespace that you have closed or stopped and return to your work.",https://docs.github.com/en/codespaces,github
Explore guides All Codespaces docs Getting started with GitHub Codespaces What are GitHub Codespaces? GitHub Codespaces features Understanding the codespace lifecycle Deep dive into GitHub Codespaces Developing in a codespace Developing in a codespace Creating a codespace for a repository Creating a codespace from a template Deleting a codespace Opening an existing codespace Working collaboratively in a codespace Using source control in your codespace Using GitHub Codespaces for pull requests Stopping and starting a codespace Forwarding ports in your codespace Rebuilding the container in a codespace Default environment variables for your codespace Persisting environment variables and temporary files Connecting to a private network Getting started with GitHub Codespaces for machine learning Using GitHub Codespaces in Visual Studio Code Using GitHub Codespaces with GitHub CLI Customizing your codespace Renaming a codespace Changing the shell in a codespace Changing the machine type for your codespace Setting your user preferences Personalizing GitHub Codespaces for your account Setting your default editor for GitHub Codespaces Setting your default region for GitHub Codespaces Setting your timeout period for GitHub Codespaces Configuring automatic deletion of your codespaces Choosing the stable or beta host image Setting up your project for GitHub Codespaces Adding a dev container configuration to your repository • 6 articles Configuring dev containers • 4 articles Setting up your repository for GitHub Codespaces • 2 articles Prebuilding your codespaces About GitHub Codespaces prebuilds Configuring prebuilds Allowing a prebuild to access other repositories Managing prebuilds Testing dev container configuration changes on a prebuild-enabled branch Managing your codespaces Managing your account-specific secrets for GitHub Codespaces Managing access to other repositories within your codespace Reviewing your security logs for GitHub Codespaces Managing GPG verification for GitHub Codespaces Managing GitHub Codespaces for your organization Enabling or disabling GitHub Codespaces for your organization Choosing who owns and pays for codespaces,https://docs.github.com/en/codespaces,github
in your organization Listing the codespaces in your organization Managing the cost of GitHub Codespaces in your organization Managing development environment secrets for your repository or organization Reviewing your organization's audit logs for GitHub Codespaces Restricting access to machine types Restricting the number of organization-billed codespaces a user can create Restricting the base image for codespaces Restricting the visibility of forwarded ports Restricting the idle timeout period Restricting the retention period for codespaces Reference Allowing your codespace to access a private registry Using GitHub Copilot in GitHub Codespaces Using the Visual Studio Code Command Palette in GitHub Codespaces Security in GitHub Codespaces Disaster recovery for GitHub Codespaces Troubleshooting GitHub Codespaces GitHub Codespaces logs Troubleshooting GitHub Codespaces clients Getting the most out of your included usage Exporting changes to a branch Troubleshooting creation and deletion of codespaces Troubleshooting authentication to a repository Troubleshooting your connection to GitHub Codespaces Troubleshooting prebuilds Troubleshooting personalization options for GitHub Codespaces Troubleshooting port forwarding for GitHub Codespaces Troubleshooting GPG verification for GitHub Codespaces Working with support for GitHub Codespaces,https://docs.github.com/en/codespaces,github
"Repositories documentation - GitHub Docs Skip to main content Start here Cloning a repository When you create a repository on GitHub, it exists as a remote repository. You can clone your repository to create a local copy on your computer and sync between the two locations. Restoring a deleted repository You can restore some deleted repositories to recover their contents. Adding a file to a repository You can upload and commit an existing file to a repository on GitHub or by using the command line. Licensing a repository Public repositories on GitHub are often used to share open source software. For your repository to truly be open source, you'll need to license it so that others are free to use, change, and distribute the software. Popular About protected branches You can protect important branches by setting branch protection rules, which define whether collaborators can delete or force push to the branch and set requirements for any pushes to the branch, such as passing status checks or a linear commit history. About releases You can create a release to package software, along with release notes and links to binary files, for other people to use. About the repository README file You can add a README file to your repository to tell other people why your project is useful, what they can do with your project, and how they can use it. About code owners You can use a CODEOWNERS file to define individuals or teams that are responsible for code in a repository. What's new View all New Organization Repositories List Feature Preview December 06 Organization Archiving public beta June 15 View commit history across file renames and moves June 06 Guides Deleting a repository You can delete any repository or fork if you're either an organization owner or have admin",https://docs.github.com/en/repositories,github
"permissions for the repository or fork. Deleting a forked repository does not delete the upstream repository. Managing a branch protection rule You can create a branch protection rule to enforce certain workflows for one or more branches, such as requiring an approving review or passing status checks for all pull requests merged into the protected branch. Setting repository visibility You can choose who can view your repository. All Repositories docs Creating and managing repositories About repositories Best practices for repositories Quickstart for repositories Repository limits Creating a new repository Creating a repository from a template Creating a template repository Creating an issues-only repository Duplicating a repository Cloning a repository Troubleshooting cloning errors Renaming a repository Transferring a repository Deleting a repository Restoring a deleted repository Managing your repository’s settings and features Customizing your repository • 8 articles Enabling features for your repository • 5 articles Managing repository settings • 11 articles Configuring branches and merges in your repository Managing branches in your repository • 4 articles Configuring pull request merges • 8 articles Managing protected branches • 2 articles Managing rulesets for a repository • 5 articles Working with files Managing files • 7 articles Using files • 5 articles Managing large files • 8 articles Releasing projects on GitHub About releases Managing releases in a repository Viewing your repository's releases and tags Searching a repository's releases Linking to releases Comparing releases Automatically generated release notes Automation for release forms with query parameters Viewing activity and data for your repository Viewing deployment activity for your repository About repository graphs Using Pulse to view a summary of repository activity Viewing traffic to a repository Viewing a project's contributors Analyzing changes to a repository's content Understanding connections between repositories Using the activity view to see changes to a repository Archiving a GitHub",https://docs.github.com/en/repositories,github
repository Archiving repositories About archiving content and data on GitHub Referencing and citing content Backing up a repository,https://docs.github.com/en/repositories,github
"Pull requests documentation - GitHub Docs Skip to main content Start here Changing a commit message If a commit message contains unclear, incorrect, or sensitive information, you can amend it locally and push a new commit with a new message to GitHub. You can also change a commit message to add missing information. Resolving a merge conflict using the command line You can resolve merge conflicts using the command line and a text editor. Creating and deleting branches within your repository You can create or delete branches directly on GitHub. Creating a pull request Create a pull request to propose and collaborate on changes to a repository. These changes are proposed in a branch, which ensures that the default branch only contains finished and approved work. Popular About pull request reviews Reviews allow collaborators to comment on the changes proposed in pull requests, approve the changes, or request further changes before the pull request is merged. Repository administrators can require that all pull requests are approved before being merged. Resolving a merge conflict on GitHub You can resolve simple merge conflicts that involve competing line changes on GitHub, using the conflict editor. Syncing a fork Sync a fork of a repository to keep it up-to-date with the upstream repository. Merging a pull request Merge a pull request into the upstream branch when work is completed. Anyone with push access to the repository can complete the merge. Guides Approving a pull request with required reviews If your repository requires reviews, pull requests must have a specific number of approving reviews from people with write or admin permissions in the repository before they can be merged. Reverting a pull request You can revert a pull request after it's been merged to the upstream branch. Why are my commits linked to the wrong",https://docs.github.com/en/pull-requests,github
"user? GitHub uses the email address in the commit header to link the commit to a GitHub user. If your commits are being linked to another user, or not linked to a user at all, you may need to change your local Git configuration settings, add an email address to your account email settings, or do both. All Pull requests docs Committing changes to your project Creating and editing commits • 4 articles Viewing and comparing commits • 2 articles Troubleshooting commits • 3 articles Collaborating with pull requests Getting started • 3 articles Working with forks • 8 articles Collaborating on repositories with code quality features • 2 articles Proposing changes to your work with pull requests • 12 articles Addressing merge conflicts • 3 articles Reviewing changes in pull requests • 11 articles Incorporating changes from a pull request • 6 articles",https://docs.github.com/en/pull-requests,github
"GitHub Discussions documentation - GitHub Docs Skip to main content Start here View all About discussions Use discussions to ask and answer questions, share information, make announcements, and conduct or participate in a conversation about a project. Participating in a discussion You can converse with the community and maintainers in a forum within the repository for a project on GitHub. Moderating discussions You can promote healthy collaboration by marking comments as answers, locking or unlocking discussions, converting issues to discussions, and editing or deleting comments, discussions, and categories that don't align with your community's code of conduct. Popular Granting higher permissions to top contributors Repository administrators can promote any community member to a moderator and maintainer. Best practices for community conversations on GitHub You can use discussions to brainstorm with your team, and eventually move the conversation to an issue when you are ready to scope out the work. Finding your discussions You can easily access every discussion you've created or participated in. Collaborating with maintainers using discussions You can contribute to the goals, plans, health, and community for a project on GitHub by communicating with the maintainers of the project in a discussion. Communities on GitHub.com using discussions vercel/next.js The React Framework gatsbyjs/gatsby Build blazing fast, modern apps and websites with React nodejs/node Node.js JavaScript runtime ✨🐢🚀✨ tailwindlabs/tailwindcss A utility-first CSS framework for rapid UI development. laravel/framework Laravel is a web application framework with expressive, elegant syntax. prisma/prisma Modern database access (ORM alternative) for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB & SQLite dotnet/csharplang The official repo for the design of the C# programming language home-assistant/frontend 🍭 Frontend for Home Assistant jspsych/jsPsych A JavaScript library for creating and running behavioral experiments in a web browser adonisjs/core 🚀 The Node.js Framework highly focused on developer ergonomics, stability and confidence ImageMagick/ImageMagick",https://docs.github.com/en/discussions,github
"🧙‍♂️ ImageMagick 7 react-hook-form/react-hook-form 📋 React Hooks for forms validation (Web + React Native) Guides About discussions Use discussions to ask and answer questions, share information, make announcements, and conduct or participate in a conversation about a project. Participating in a discussion You can converse with the community and maintainers in a forum within the repository for a project on GitHub. Moderating discussions You can promote healthy collaboration by marking comments as answers, locking or unlocking discussions, converting issues to discussions, and editing or deleting comments, discussions, and categories that don't align with your community's code of conduct. Explore guides All GitHub Discussions docs Discussions guides Best practices for community conversations on GitHub Finding your discussions Granting higher permissions to top contributors Collaborating with your community using discussions About discussions Participating in a discussion Collaborating with maintainers using discussions Managing discussions for your community Managing discussions Managing categories for discussions Moderating discussions Viewing insights for your discussions Creating discussion category forms Syntax for discussion category forms",https://docs.github.com/en/discussions,github
"GitHub Copilot documentation - GitHub Docs Skip to main content Start here What is GitHub Copilot? Learn what GitHub Copilot is and what you can do with it. Quickstart for GitHub Copilot Quickly learn how to use GitHub Copilot. Quickstart for GitHub Copilot Extensions using agents Build and try out GitHub's Blackbeard extension to learn about the development process for GitHub Copilot Extensions. About GitHub Copilot coding agent You can assign GitHub issues to Copilot, or ask Copilot to create a pull request. Popular GitHub Copilot features GitHub Copilot offers a suite of features. Copilot also offers a suite of features for administrators. GitHub Copilot Chat Cookbook Find examples of prompts to use with GitHub Copilot Chat. Getting code suggestions in your IDE with GitHub Copilot Use GitHub Copilot to get code suggestions in your editor. Asking GitHub Copilot questions in your IDE Use Copilot Chat in your editor to give you code suggestions, explain code, generate unit tests, and suggest code fixes. What's new View all Model Context Protocol (MCP) support for JetBrains, Eclipse, and Xcode is now generally available August 14 Added last_authenticated_at to the Copilot user management API August 13 Spark resilience improvements August 13 All GitHub Copilot docs Get started with GitHub Copilot Quickstart for GitHub Copilot What is GitHub Copilot? Plans for GitHub Copilot GitHub Copilot features Best practices for using GitHub Copilot Choosing your enterprise's plan for GitHub Copilot Achieving your company's engineering goals with GitHub Copilot Concepts for GitHub Copilot Choosing the right AI tool for your task Completions for GitHub Copilot • 3 articles About GitHub Copilot Chat Concepts for GitHub Copilot coding agent • 3 articles Concepts for GitHub Copilot code review • 2 articles About Model Context Protocol (MCP) About organizing and sharing context with GitHub Copilot Spaces GitHub Copilot",https://docs.github.com/en/copilot,github
billing • 5 articles Prompt engineering for GitHub Copilot Chat About customizing GitHub Copilot Chat responses Content exclusion for GitHub Copilot GitHub Copilot knowledge bases GitHub Copilot Extensions • 4 articles GitHub Copilot policies to control availability of features and models Rate limits for GitHub Copilot Network settings for GitHub Copilot Indexing repositories for GitHub Copilot Chat How-tos for GitHub Copilot Setting up GitHub Copilot • 5 articles Get suggestions from GitHub Copilot • 3 articles GitHub Copilot Chat • 5 articles Use GitHub Copilot agents • 2 articles AI models for GitHub Copilot • 4 articles Provide context to GitHub Copilot • 4 articles Configure custom instructions for GitHub Copilot • 3 articles Configure and audit content exclusion • 2 articles Use GitHub Copilot for common tasks • 3 articles Manage and monitor spending for GitHub Copilot • 3 articles Configure personal settings • 4 articles Manage your GitHub Copilot account • 5 articles Administer GitHub Copilot for your team • 3 articles Troubleshoot GitHub Copilot • 4 articles GitHub Copilot Extensions • 7 articles Reference for GitHub Copilot GitHub Copilot billing • 4 articles GitHub Copilot Chat cheat sheet Keyboard shortcuts for GitHub Copilot in the IDE Feature availability when GitHub Copilot policies conflict in organizations AI models for GitHub Copilot • 3 articles Allowlist reference GitHub Copilot Extensions glossary Metrics data properties for GitHub Copilot Tutorials for GitHub Copilot GitHub Copilot Chat Cookbook • 7 articles GitHub Copilot coding agent • 2 articles Comparing AI models using different tasks Enhancing GitHub Copilot agent mode with MCP Quickstart for GitHub Copilot Extensions using agents Speeding up development work with GitHub Copilot Spaces Using GitHub Copilot to explore a codebase Using GitHub Copilot to explore issues and discussions Using GitHub Copilot to explore pull requests Writing tests with GitHub,https://docs.github.com/en/copilot,github
Copilot Refactoring code with GitHub Copilot Learning a new programming language with GitHub Copilot Building your first app in minutes with GitHub Spark Building and deploying AI-powered apps with GitHub Spark Modernizing legacy code with GitHub Copilot Using GitHub Copilot to migrate a project to another programming language Upgrading projects with GitHub Copilot Rolling out GitHub Copilot at scale • 4 articles Responsible use of GitHub Copilot features Responsible use of GitHub Copilot code completion Responsible use of GitHub Copilot Chat in your IDE Responsible use of GitHub Copilot Chat in GitHub Responsible use of GitHub Copilot Chat in GitHub Mobile Responsible use of GitHub Copilot in the CLI Responsible use of GitHub Copilot in Windows Terminal Responsible use of GitHub Copilot in GitHub Desktop Responsible use of GitHub Copilot pull request summaries Responsible use of GitHub Copilot text completion Responsible use of GitHub Copilot code review Responsible use of GitHub Copilot coding agent on GitHub.com Responsible use of GitHub Spark,https://docs.github.com/en/copilot,github
